UNIQUE_ID,ARR_DELAY_GROUP
351974,1
53238,-1
660530,1
409772,0
85686,0
148053,-1
392938,-1
408460,1
312229,-1
247002,1
200776,-1
483931,0
527029,-1
372701,-1
98306,0
387216,-1
129130,1
363024,0
645099,1
499015,-1
328457,0
186010,-1
80038,0
87506,-1
543521,0
180550,0
56791,0
617200,-1
324056,0
374737,-1
249090,1
648559,0
213159,1
424932,1
254967,-1
375581,1
383324,0
401945,1
575528,-1
120658,1
254161,-1
33544,1
392392,1
679903,0
612437,0
492316,1
377335,1
672400,1
371574,-1
113650,-1
82077,-1
105757,-1
288041,-1
444968,-1
397824,-1
656583,1
597750,-1
27849,-1
480286,-1
65322,1
383371,-1
656744,-1
302933,1
547973,-1
600386,-1
248631,-1
154232,0
626589,1
231899,-1
461428,0
495349,0
242975,-1
197339,-1
591098,0
267495,-1
124096,-1
438987,-1
17792,-1
189052,0
602172,1
177197,-1
84802,-1
193319,0
566567,0
397285,-1
230227,1
21903,1
229085,1
518820,-1
541171,-1
217535,-1
368836,0
335813,-1
322672,0
199840,-1
499986,0
131484,0
26483,0
49086,-1
181701,-1
663284,1
333869,1
183514,0
32071,1
638339,-1
617944,-1
419659,0
619005,-1
489951,-1
260333,1
162326,-1
636901,1
291242,1
536183,0
276917,1
653038,-1
477673,-1
369124,0
472883,-1
497329,-1
233034,0
216380,-1
352564,0
268611,-1
198643,0
535736,0
629979,1
661755,-1
679429,0
378109,-1
463784,-1
326138,0
354045,0
10763,1
588404,0
377541,1
337967,0
356449,-1
500937,0
515725,1
141764,-1
304182,0
227398,-1
254252,-1
662672,1
654087,0
624896,-1
487333,-1
90183,-1
93299,-1
55239,-1
124483,-1
653680,0
519024,1
569621,0
345439,1
164211,0
286038,1
613910,-1
283145,0
448835,-1
372383,1
640486,0
465674,1
553318,1
437968,1
213449,1
507493,-1
20624,-1
265726,0
421636,-1
140046,-1
455375,1
256943,-1
114434,-1
12906,1
343875,0
665040,-1
668691,0
300436,1
668334,-1
54945,0
319937,0
378984,0
669777,-1
673132,-1
417485,0
263170,1
129570,-1
426254,1
343924,1
561403,1
669383,1
393943,1
58007,1
284764,0
12097,-1
542162,-1
21241,0
274753,-1
304107,-1
201281,1
83860,-1
175909,-1
468637,1
651129,1
549687,-1
226898,0
352908,0
177092,-1
101063,-1
392089,0
618970,-1
115926,-1
359064,-1
16444,-1
240457,0
477084,-1
199690,-1
435107,0
374838,1
535105,-1
465187,1
